timestamp,Date,CarCount,BikeCount,BusCount,TruckCount,Total,hour,day_of_week
2018-10-01 00:00:00,8,117,15,4,227,363,0,0
2018-10-01 01:00:00,8,107,13,6,196,322,1,0
2018-10-01 02:00:00,8,90,10,4,227,331,2,0
2018-10-01 03:00:00,8,107,19,6,225,357,3,0
2018-10-01 04:00:00,8,533,87,28,135,783,4,0
2018-10-01 05:00:00,8,589,115,47,114,865,5,0
2018-10-01 06:00:00,8,961,218,231,55,1465,6,0
2018-10-01 07:00:00,8,1009,171,207,55,1442,7,0
2018-10-01 08:00:00,8,961,190,232,50,1433,8,0
2018-10-01 09:00:00,8,558,100,147,113,918,9,0
2018-10-01 10:00:00,8,434,91,130,101,756,10,0
2018-10-01 11:00:00,8,383,55,61,216,715,11,0
2018-10-01 12:00:00,8,350,48,41,217,656,12,0
2018-10-01 13:00:00,8,482,109,163,134,888,13,0
2018-10-01 14:00:00,8,487,124,181,140,932,14,0
2018-10-01 15:00:00,8,460,133,152,105,850,15,0
2018-10-01 16:00:00,8,985,160,247,83,1475,16,0
2018-10-01 17:00:00,8,1062,154,263,89,1568,17,0
2018-10-01 18:00:00,8,872,146,173,121,1312,18,0
2018-10-01 19:00:00,8,695,108,106,187,1096,19,0
2018-10-01 20:00:00,8,631,75,119,190,1015,20,0
2018-10-01 21:00:00,8,583,73,98,153,907,21,0
2018-10-01 22:00:00,8,109,13,4,230,356,22,0
2018-10-01 23:00:00,8,100,10,6,238,354,23,0
2018-10-02 00:00:00,16,86,22,4,271,383,0,1
2018-10-02 01:00:00,16,92,17,6,213,328,1,1
2018-10-02 02:00:00,16,99,15,4,252,370,2,1
2018-10-02 03:00:00,16,96,19,8,186,309,3,1
2018-10-02 04:00:00,16,570,54,34,93,751,4,1
2018-10-02 05:00:00,16,704,85,46,130,965,5,1
2018-10-02 06:00:00,16,1039,228,196,50,1513,6,1
2018-10-02 07:00:00,16,934,165,218,52,1369,7,1
2018-10-02 08:00:00,16,932,157,202,45,1336,8,1
2018-10-02 09:00:00,16,440,125,222,111,898,9,1
2018-10-02 10:00:00,16,416,85,154,136,791,10,1
2018-10-02 11:00:00,16,402,43,66,221,732,11,1
2018-10-02 12:00:00,16,352,49,82,207,690,12,1
2018-10-02 13:00:00,16,489,93,130,144,856,13,1
2018-10-02 14:00:00,16,418,96,138,98,750,14,1
2018-10-02 15:00:00,16,536,128,153,132,949,15,1
2018-10-02 16:00:00,16,999,209,230,79,1517,16,1
2018-10-02 17:00:00,16,1013,168,192,104,1477,17,1
2018-10-02 18:00:00,16,890,155,192,123,1360,18,1
2018-10-02 19:00:00,16,561,90,91,171,913,19,1
2018-10-02 20:00:00,16,666,133,104,188,1091,20,1
2018-10-02 21:00:00,16,560,63,109,173,905,21,1
2018-10-02 22:00:00,16,92,12,7,190,301,22,1
2018-10-02 23:00:00,16,96,13,5,222,336,23,1
2018-10-03 00:00:00,24,100,6,5,233,344,0,2
2018-10-03 01:00:00,24,103,12,6,242,363,1,2
2018-10-03 02:00:00,24,93,12,5,195,305,2,2
2018-10-03 03:00:00,24,120,18,6,215,359,3,2
2018-10-03 04:00:00,24,347,58,17,194,616,4,2
2018-10-03 05:00:00,24,408,66,18,232,724,5,2
2018-10-03 06:00:00,24,485,74,25,202,786,6,2
2018-10-03 07:00:00,24,458,86,32,217,793,7,2
2018-10-03 08:00:00,24,436,72,31,179,718,8,2
2018-10-03 09:00:00,24,1058,344,109,45,1556,9,2
2018-10-03 10:00:00,24,1058,319,117,39,1533,10,2
2018-10-03 11:00:00,24,1070,392,118,35,1615,11,2
2018-10-03 12:00:00,24,1088,351,125,38,1602,12,2
2018-10-03 13:00:00,24,1090,372,137,33,1632,13,2
2018-10-03 14:00:00,24,1105,356,124,43,1628,14,2
2018-10-03 15:00:00,24,602,159,81,55,897,15,2
2018-10-03 16:00:00,24,576,124,72,48,820,16,2
2018-10-03 17:00:00,24,571,145,85,52,853,17,2
2018-10-03 18:00:00,24,531,132,94,60,817,18,2
2018-10-03 19:00:00,24,289,54,44,160,547,19,2
